Key Skills,Candidate name
" Outbound, Antivirus, Technical support, Sales, Spot, Inbound calls, pay, Medical, Comp",User_38
" Troubleshooting, DNS, DHCP, Monitoring, Virtualization, Shell scripting, Python, VMS, Open source, Archiving",User_39
" 4G, 3GPP, 3G, System Architect, LTE, Radio Access Network, PhD, IEEE",User_40
"arm processor,c,device drivers,embedded linux,linux kernel,ipc",User_41
" JMS, Core Java, Sonar, Weblogic, XML, J2Ee, SVN, Spring, Oracle 11G, SQL",User_42
" market, presentation, strong analytical skills, english, presentation skills, developing, customer interaction",User_43
" fixed assets, accounts payable, record to report, general accounting, general ledger",User_44
" Team management, Regional sales, Management",User_45
" Commercial Activities, Commercial Sales, Online Sales, Senior Management, Budgeting, Strategy Implementation, Marketing, E - commerce",User_46
" ODI, Matrix",User_47
" javascript, sql, php, php mysql, css, software development, technical, photoshop, mca, ajax, jquery, application, web, design, mysql, html",User_48
" Relationship management, Relationship building, Client relationship, Training, Analytical skills, Process mapping, Standard operating procedures, Agile, Management, Visa processing",User_49
" android, btech, iphone, server, analytical, developing, ios, platforms, objective c, web, xml, design, json, programming, development, c, testing, mobile, xcode, application development, eclipse, application, sdk, applications",User_50
" cca, bpo, csr, international bpo, customer service, outbound process, customer care, tourism, customer support, fresher, voice process, inbound process, cse, bpo fresher, voice support, hotel, travel",User_51
" bca, graphics, application development, b tech, core, b sc, application, b e, ios, publishing, animation",User_52
" Accounting, Continuous Improvement, Process Improvement, Load Balancing, Lean Six Sigma, Black Belt, Training, Green Belt, Process re - engineering, Process Excellence, Business Excellence, OTC",User_53
" networking, information technology, network administration, technical support, support services, license management, disaster recovery, data security, it training, it software",User_54
" Automobile, Digital Content, Content Development, Production, Web Content Writing",User_55
" Tourism, target achievement, negotiation skills, revenue management, Tour Packages",User_56
" PHP, Networking, Data structures, HTTP, JSON, Software design, Computer science, System design, Backend, Ticketing",User_57
vide,User_58
" Chief Engineer, Hospitality, HVAC, Maintenance, Water Treatment, Energy Conservation, Capital Expenditure",User_59
"Marketing,Executive,Marketing,Marketing,Executive,Direct,Executives,Marketing,Executive,Executive,Executive,Executive,Marketing,Executive,Marketing,Executive,direct,marketing,executive,Marketing,Executive,Marketing,Executive,Executive,Marketing,Executive,direct,Executive,Direct,Marketing,Executive,Executive,Direct,Marketing,Marketing,Executive",User_60
" WebLogic, configuration, MySQL, installation, Oracle DBA, troubleshooting, Oracle RAC",User_61
" Service level, Data management, HR Coordinator, Management audit, HR operations, Human resource management",User_62
"Manager,Transformation,Manager,Transformation,Manager,Manager,Manager,Manager,Transformation,Manager,Transformation,Manager,Manager,Transformation,Manager,Manager,Transformation,Transformation,Manager,Manager,Manager,Manager,Manager,Manager,Manager,Manager,Manager,Manager,Transformation,Manager,Manager,Manager,Manager,Manager,Manager,Transformation,Manager,Manager,Manager,Manager,Manager,Manager,Manager,Transformation,Manager,Transformation,Manager,Manager,Manager,Transformation,Manager,Transformation,Manager,Manager,Transformation,Manager,Manager,Manager,Manager,Manager,Manager,Manager,Manager,Transformation",User_63
" Graphics, C++, Windows OS, Linux, high performance computing, Test cases, System software, Gaming, FreeBSD",User_64
vide,User_65
" Sales, Team Building, Strategic Leadership, Real Estate, Field Sales, Sales Strategy, Enterprise Business, Go - to - market Strategy, Enterprise sales, Sales Executive Activities, Marketing",User_66
" Facility Management, facility services",User_67
" sds, radiology, CPT, icd - 10, EM, medical coding, coders, surgery, ed",User_68
" Market analysis, Public relations, CV, Relationship building, Market intelligence, Prospecting, Budgeting, Sales process, Branding",User_69
" ERP, MIS, Succession Planning, Reports, Talent Management, Human Resources, HR Policies, Recruitment, Talent Acquisition",User_70
" revenue generation, marketing, ad sales, web technologies",User_71
" co ordination, team management, drafting, loans, online, coordination, quality",User_72
" English, PHP, XML, DOM, SOAP, Com, Web technologies, Written communication, Email, Time",User_73
" cloud, puppet, python, git, KVM, linux, jenkins, openstack, ansible",User_74
" National, Branch, Vice President, J2Ee, Software",User_75
" Mentor, Android, Consulting, Usage, development, software, mobile, it, SIDE, Front end, Web technologies, Coding, web, backend, Open source, programming, Investment",User_76
" Performance Testing, Software Testing, Manual Testing, Quality Testing",User_77
" Pivot Table, Credit Analysis, Tally ERP, Accounting, VLOOKUP, Finance, Lookup, Advanced Excel, HLOOKUP, Credit Control",User_78
" international bpo, bpo, kpo, web chat, non voice process, e mail, international call center, customer service representative, cse, interpersonal skills, ites, uk shift, customer service, e - commerce, customer care, customer support, bpo fresher",User_79
" Innovative, Aggressive",User_80
" Communication Skills, Detail Engineering, Material Handling, AutoCAD, Detailing, Design Engineering, Microstation, Bid Evaluation",User_81
" design, android, erp, software, mvc, quality",User_82
" Technical Writing, Technical Documentation, Articles, Writing Skills, Product Support",User_83
" Ansys, thermal, MATLAB, System design, Recruitment, MCCB, Electricals",User_84
" Product placement, Market research, Distributor handling, Business Development Executive, Customer service, Customer Service Executive, Secondary sales, Supervision",User_85
" Management accounting, Accounting, VAT, Book Keeping, SAGE, Tax returns",User_86
" Trade, Forex Trading, Forex, fx, Lead Generation, Accounting, Banking, Revenue Generation, Current Account",User_87
" XML, Javascript, PHP, development, css, technical, analytical, software, testing, HTML, tools, Joomla, coding, jQuery, web, MySQL, Wordpress, design, XHTML, debugging, Ajax",User_88
" zld, Engineering Management, knitting",User_89
" Analyst, ERP, Change management, Business objects, Managed services, Business process mapping, Executive management, Data mining, oracle project accounting, Testing",User_90
" ERP, Succession Planning, MIS, Reports, Talent Management, Human Resources, HR Policies, Recruitment, Talent Acquisition",User_91
" Intern, Linux, Windows, Unix, DNS, C++, Perl, IIS, Redhat, HTTP",User_92
" C, Woocommerce, Magento, Wordpress, MySQL, PHP, Shopify, JQuery, Web Development, Ajax",User_93
" CSS, Singleton, XML, Javascript, JDBC, Struts, JSON, HTML, Spring Boot, JQuery",User_94
" Business Development Management, Bd, Marketing, business development, Projects, business development manager, bdm, Tendering, Proposal",User_95
" Ethical Hacking, Certified Ethical Hacker, Networking Protocols, Penetration Testing, Nessus, NMAP, Fortify, Vulnerability Assessment, Appscan, Qualys",User_96
" Graphic designing, Graphics, adobe creative suite, Architecture, MS Office, Business Executive",User_97
" Payment collection, Costing, Business Development Executive, Lead generation, Sales, Vendor, Cost",User_98
" Internship, Digital marketing, Social media, Relationship building, Animation, Creative, Indesign, Business Executive, Presentation skills, Senior",User_99
"market penetration,marketing,customer satisfaction,enterprise business,web technologies,business development,strategy,aws,sales",User_100
" jquery, git, microsoft sql server, net asp net, software, testing, ado.net, microsoft, tools, sql, unit tests, database, application, web, design, .net, object oriented programming, support, programming",User_101
" technical recruitment, us staffing, us recruitment, us recruiter, us it staffing, technical recruiter, it recruiter, recruiter, w2, c2c, talent acquisition, recruitment, staffing, sourcing",User_102
 Front Office Executive,User_103
" Project Administration, Coordination",User_104
" Order Management system, Sterling Commerce, Sterling, OMS, Sterling Integrator, ecommerce, E - commerce",User_105
" analytical, documentation, web development, algorithms, development, javascript, sql server, jquery, database, web, flex, design, mysql, net",User_106
 NCTVT,User_107
" Drupal, Application programming, MySQL, Wordpress, PHP, CakePHP, Team Leader, MVC, Zend, Software services",User_108
" Outbound, Sales, Project management, Analytical, Sales Lead, Automation tools, Sales process, marketing automation",User_109
vide,User_110
" AutoCAD, 3D Modeling, FMEA, Mechanical Engineering, Mechanical Design, SolidWorks",User_111
 Automation Engineer,User_112
" Revenue Cycle Management, US Healthcare, Payment Posting, Medical Billing, Medical Coding, us visa, Team Leading Skills, Healthcare, Denial Management, RCM",User_113
vide,User_114
" Voice process, qaqc, Writing, Process operations, Verbal",User_115
" Patient Care, Nursing, People Orientation, Report Generation, Service Quality, Disaster Management, Customer Care, Medical, Process Orientation",User_116
vide,User_117
" Predictive Modeling, SAS, Data Management, Data Mining, Tableau, Data Analytics, Statistics, Analytics, SQL, Python",User_118
" molecular biology, chemistry, biotechnology, bhms, biology, Physiotherapy, microbiology, nursing, biomedical, Physics, medical coding, biochemistry, pharmacy, Ophthalmology, micro biology, Bioinformatics, zoology, biotech",User_119
" accounts executive, accountant, Stock Management, gst, auditing, Statutory Compliance, accounting, Account Assistant, Bank Reconciliation, tax audit, banking, monthly reports, Payroll, salary processing, income tax, Income Tax Return, taxation",User_120
" Informatica Power Center, Informatica",User_121
" digital marketing, seo specialist, advertising agency, online marketing, seo, seo expert, facebook marketing",User_122
" Validation, Installation, Breakdown Maintenance, Industrial Safety, gmp, Boiler, Design, HVAC, Gensets, Air Compressor, Breakdown, RO, who",User_123
 Forecasting,User_124
" Pay Per Click, Google AdWords, Search Engine Marketing, PPC, SEM, Google Analytics, Website Analysis, Yahoo, Web Analytics, Marketing Initiatives",User_125
" marketing officer, pharma sales, Marketing Representative, marketing executive, pharma marketing, sales officer, sales representative, business development executive, Fresher, trainee, sales executive",User_126
" Project management, PPAP, Automotive, External audit, Conflict resolution, Resource mobilization, PFMEA, Risk management, Project life cycle",User_127
" PR, Public Relations, Media Relations, Social Media, Marketing Communication, corporate communication, media relation, corp comm, Online Media, public relation, Journalism, Advertising, mass communication",User_128
" counselling, couselling, fresher, student counsellor, student counseling",User_129
" Help Desk, Customer Service, customer relationship, access controls, Asset Management, Vendor Management",User_130
" asp dot net, .net developer, Dot Net Developer, asp.net, asp . net",User_131
" Secondary Research, Valuation, Finance, Real Estate, Primary, Report Preparation, Business Development, Due Diligence, Financial Modelling",User_132
" Teaching, Educator, Counselor, Mentor, Trainer, Advisor",User_133
" X - Ray, Medical Transcription, Ultrasound, CT Scan",User_134
" cms, javascript, wordpress, drupal, joomla, ajax, cakephp, zend, knowledge, xhtml",User_135
" Sales, Management, Sales management, Educational sales",User_136
" Outbound, Antivirus, Technical support, Technical Support Associate, process, Sales, Inbound calls, US shift, Comp",User_137
" Technical support, English, Comp, Customer Care Executive, Inbound calls, Antivirus, Issue, Software",User_138
"C#,Application Development,Senior Level,MS SQL,Visual Basic,Power Bi,MSBI,SSIS,Recruitment,Data Integration",User_139
" Escalation management, Field Sales Executive, Sales achievement, Training, Insurance sales",User_140
" Team management, Salesforce, Usage, Sales, Skill development, Training, Productivity improvement, Training management, Sales budgeting, TSI",User_141
" Networking, Unix, Change management, Scheduling, Publishing, Incident management, VMware, Problem management, Remedy, SIP",User_142
" planning, training, training manager, trainer, faculty",User_143
" Sales, Billing, MS Office, Business reporting, Insurance sales, MIS preparation, Usage, Corporate, Networking, Retail",User_144
" customer support, support service, field support, team, management, supervisor, self motivated, continuous improvement, give, enthusiastic",User_145
" Javascript, SQL, XML, server, css, technical, software, developing, HTML, tracking, database, web, Application development, net, programming, Ajax, development, DOM, solid, data integrity, Stored procedures, Reporting tools, application, applications",User_146
" Senior Design Engineer, Engineering Design, SACS",User_147
" C, Python, Six Sigma, PMP, .NET, HTML, JavaScript, SQL, Oracle, assembly language, Real Time Operating Systems",User_148
" Technical Support Executive, Electrical engineering",User_149
" Data analysis, Automation, Google Analytics, Excel, Analytical, Business intelligence, Analytics, Product marketing, SQL, Data extraction",User_150
"Detail Design,Juniper,SMSC Engineer,Routing,IP Networking,Network Elements,Network Troubleshooting,High Level Design,Data Center,Switching",User_151
" assistant restaurant manager, restaurant, restaurant manager",User_152
" layout, visualization, digital media, graphic design, html, illustration, tools, part time",User_153
" selling, accounts, events, prospecting, business operations, ideas, coordinating, tracking, closing, maintaining",User_154
" photoshop, illustrator, seo, jquery, fireworks, css3, gui, usability, development, static",User_155
" Photoshop, HTML, Wordpress, CSS3, bootstrap, Web technologies, html5, CSS",User_156
 Python,User_157
" server, multimedia, troubleshooting, graphics, audio, monitoring, javascript, jquery, user interface, css3",User_158
" Senior management, MIS reporting, Building, Training, Management, Risk, Vice President, Focus, Trade, Associate Vice President",User_159
" Sales Head, Tied Channel, Sales, Business Growth, Profitability, Business Operations, New Business, Alliances",User_160
 Project Management,User_161
" QA, Life Sciences, development quality assurance, Life Cycle, Regulatory Affairs, DQA, QMS, Dmf",User_162
" accounting, finance, financial reporting, statutory compliance, gst, vat",User_163
" Data analysis, Consumer research, Management, Head Business Development",User_164
" Testing, Quality, Manual Testing, ETL, BI, DW, Datawarehouse Testing",User_165
" assembly language, Six Sigma, PMP, C, JavaScript, .NET, HTML, Oracle, Python, SQL",User_166
" Product management, Business process, Linkedin, Automation, CV, Email, GIT, Technical, SDLC, Ideas",User_167
" ajax, javascript, php, erp, website, development, software development, module, mca, application development, application, web, programming",User_168
" customer service, customer care, team, communication, bpo, call center, inbound, voice, backend, non voice, telecalling, cse, cro, cce, data entry, back office, voice process, domestic bpo, fresher, trainee, Telemarketing, Outbound, sales, hardware, networking",User_169
"Oracle,Core Java,Business process,Outsourcing,Operations,spring integration,J2Ee,Spring framework,JEE,Manager Technology",User_170
" MS Office, Data entry",User_171
"Sales,Counter,Sales,Sales,Sales,Sales,Counter,Sales,Sales,Sales,Counter,Sales,Sales,Counter,Sales,Sales,Sales,Sales,Sales,Counter,Sales,Sales,Sales,Sales,Counter,Sales,Sales,Sales,Sales,Sales,Sales,Counter,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Counter,Sales",User_172
" Customer relationship, Automobile, Proposal preparation, CRM strategy, Architecture, Database, Testing",User_173
" Unix, Version control, Prototype, XML, MySQL, PHP, JSON, MVC, Ajax, CSS3",User_174
" Merchandising, Buyer Activities, Follow Ups, Vendor, purchase, vendor development, tracking",User_175
vide,User_176
" C#, Azure, Powershell, Script Writing, API, Debugging, Devops, Application Integration",User_177
vide,User_178
" Computer Operator, MS Office, Software services, Comm, Typing speed, WHO, Software, level",User_179
" operations management, mobilization, Resource Mobilization, general management, interview, Recruitment",User_180
" Customer Support Executive, Customer service, Business Executive, process",User_181
" Staff Training, Day Care, Recruitment",User_182
" process, Spot, Technical support, Night shift, International BPO",User_183
"digital marketing,email marketing,adwords,display advertising,digital campaigns,google analytics,sem,seo",User_184
" java, cisco call manager, visa, j2ee, sip, offshore, communication skills",User_185
vide,User_186
" Sales, Business Development, Change Management, Mobile, mobiles, handset, mobile handset, Marketing, Relationship Management, Distribution Management, channel management, dealer management, Retailer",User_187
" International Call Center, Technical Support, Maintenance, Communication Skills, PC Hardware, Technician Activities, Social Media, Analytical Ability, Soft Skills, Customer Satisfaction",User_188
" Illustrator, Corel Draw, Photoshop",User_189
" Manual testing, Informatica, microsoft, Process automation, System testing, PDF, Artificial Intelligence, Regression testing, Silicon, Analytics",User_190
" Technical Architecture, Fusion, Oracle Fusion",User_191
" Layout design, Corel Draw, Web designing, Photoshop",User_192
" Bpo Voice, Voice Process, International BPO",User_193
" HTML5, ASP",User_194
" Product training, Sales, Relationship, Banking, Recruitment",User_195
" Customer profitability, Receivable management, Education, Relationship building, Transportation, Service, Monitoring, Key accounts",User_196
" Stores, warehouse, Logistics",User_197
" BPO, Outbound, English, Email, Inbound calls, Customer service, Troubleshooting, Technical support, Recruitment, Comp",User_198
" Linux, Agile, Python, Computer science, Coding, Fixed income, Machine learning, Asset management, JIRA, Financial services",User_199
" English, MS Office, admin executive, Billing, Stock inventory, Writing, Office management, Management, Business Executive, Application",User_200
" Credit Officers, Risk Management, Administration, Report Generation, Analysts, analytical skills",User_201
" Balance Sheet Finalisation, service tax, bank reconciliation, gst, income tax, taxation, financial auditing, finance, tax audit",User_202
" accounts payable, accounting, AP",User_203
" Change management, Healthcare, Analyst, Business Analyst, Social media, Problem management, Software development life cycle, Scheduling, OEE",User_204
" Copyright, Customer Service Representative, CV, Customer service, Security, Troubleshooting, CCTV",User_205
" CSS, jQuery, MySQL, Javascript, HTML, Web Development, Laravel, Codeigniter",User_206
" Networking, Telecom, LAN, WAN, Bss, VPN, Wireless, Telecommunication, Costing, Visio",User_207
" Teaching, Educator, Counselor, Mentor, Trainer, Advisor",User_208
" Business communication, Analytical skills, Business objects, Team management, management, Transition management, Trend analysis, Variance analysis, Analytics",User_209
" Usage, PDF, C, Social media, Cash handling, Database, Customer service, Merchandising, Advertising",User_210
" salesforce, salesforce.com, system design, application architecture",User_211
vide,User_212
"Execution,Project Management,AO engagement,Monitoring Tools,Delivery Management,Stakeholder Management,System Monitoring",User_213
" Recruitment, Hiring, HR, Screening, Interviewing, Staffing",User_214
" bca, cold calling, bidding, academic, customer service, documentation, selling, web development, seo, mba",User_215
" Java, Webservices, Spring, Hibernate, System Design, ESB, SQL, Spring Boot, Javascript",User_216
" Debugging, Troubleshooting, Python, Interpersonal skills, OOPS, Programming, developer",User_217
" Direct sales, Cold calling, English, Networking, Business Development Manager, Customer interfacing, Data collection, Service, Digital marketing, WHO",User_218
" build automation, Entity framework, MVC, microsoft, SQL",User_219
" Technical support, Outbound, Troubleshooting, RecruitmentEnglish, Antivirus, Comp, Customer Service Executive, Domestic BPO",User_220
" Outbound, Medical, Technical support, Technical Support Associate, Email, Sales, US shift, Antivirus, Troubleshooting, Comp",User_221
" HR, Human Resource Management, Placement Coordination, recruitment executive, recruitment officer",User_222
" Strategic Sourcing, procurement, supply chain management, Packaging, Vendor Management",User_223
Test Engineering,User_224
" Outbound, Technical Support Associate, Sales process, process, Senior, Technical, US shift, Technical support, International BPO",User_225
" Corporate Training, corporate trainer, technical trainer",User_226
" java, mongodb, Hibernate, spring, jms",User_227
" Procurement, Supply chain management, Automation, Copyright, Chain, Purchase, Head Operations, Steel, Business Executive",User_228
" software development life cycle, css, html5, ui development, design patterns, svn, software engineering, angularjs, javascript",User_229
" good communication skill, good speeking manners, ability to face strangers, punctual, gopod efficiency",User_230
" e - tendering, Tender Preparation, bid preparation, proposal preparation",User_231
" Cash Handling, Cashier Activities, Day Book, Cashier, Restaurant, CSAT",User_232
" C#, .Net, Asp.net",User_233
" Excel, Sales, Conflict resolution, Analytical, Management Trainee, Power point presentation, MS Office",User_234
" Manual testing, Eclipse, Coding, Scrum, Enterprise applications, Healthcare, JIRA, Android SDK, test driven development, Business Analyst",User_235
" Production Management, production control, production planning, Production Manager, Planning, Production Support, Organizing",User_236
" Outbound, Medical, Technical support, Technical Support Associate, Email, Technical, US shift, Antivirus, Troubleshooting, Comp",User_237
" project management, management consulting, business transformation, strategy consulting, change management, sales strategy, top management",User_238
" Digital media, PHP, Recruitment, Bengali, LMS, Business administration, Content Editor, Journalism, Literature, Administration",User_239
" Graphics, Simulation, Power management, Electronics, Hardware, Research, System analysis, Electricals",User_240
" Motion Graphics, Infographics, Illustrator, animations, infographics, Corel draw, Photoshop, CorelDRAW, Visual Designer",User_241
" Illustrator, Web designing, Photoshop, CSS, Web technologies, XML, Intranet, Business Executive",User_242
" Tally, Retail, Accounts Executive, Retail Executive",User_243
" Financial reporting, Due diligence, Data analysis, Accounting, International finance, Banking",User_244
" NSE, Lead generation, Compliance, Relationship, Equity, Client acquisition, Research, Revenue generation, Monitoring, HNI client handling",User_245
" MySQL, Javascript, UML, server, css, Technical writing, html5, bootstrap, microsoft, Technical support, sql, cloud, ui, web, design, asp.net, mvc, api, architecture, level, Visual Studio, quality, MS SQL, infrastructure, .net, agile, angularjs, aws",User_246
" MIS reporting, Trade, Operational risk, Banking, Relationship, Client relationship, Saving",User_247
" sales strategy, sales management, B2B Sales, corporate sales, institutional sales",User_248
" soa, sql, relationship management, server, software, jquery, service oriented architectures, quality systems, software implementation, computer science, sql server 2008, design",User_249
 Analyst,User_250
 Art Director,User_251
" fresher, icse, inbound process, outbound, international bpo, uk process, bcom, communication skills, back office, cbse, web chat, chat process, Aviation, Guest Relations, Public Speaking, PR",User_252
" Automobile, Warehouse, Problem management, Manager Operations",User_253
vide,User_254
" Outbound, Telesales, Night shift, English, process, Technical, Inbound calls, Service, Printers, Business Executive",User_255
" Outbound, Service, Technical support, process, Inbound calls, Domestic BPO, Bonus, Business Executive, Comp",User_256
" single sign - on, single sign on, IT Infrastructure, SSO",User_257
" layout, coordinating, material selection, ms, mep, photoshop, corel draw, co, monitoring, plumbing",User_258
"coding,database design,test cases,analytical,nosql,cassandra",User_259
" accent, auditing, soft skills, training needs, customer service, process compliance",User_260
" Sales, Fresher, Marketing",User_261
" Java EE, Hibernate, Core Java, Software Development, Spring Mvc, Multithreading, OOD, JDBC, Spring Boot, JSF",User_262
" Virtualization, Cloud computing, Server architecture, Windows Troubleshooting, Customer satisfaction, Manager Technology, Deployment, Management",User_263
" business development, sales, sales marketing, marketing executive, sales executive, sales officer, sales manager, area sales manager, territory sales manager, territory manager, area manager, regional manager, regional sales manager, regional business manager",User_264
" Sales, Sale, Networking Sales, It Solution Sales, Structured Cabling, Passive Networking, Data Center, Cable Tray, cabling, Data Center Rack, data - centre rack, LAN, UTP Cables",User_265
" marketing executive, distributors, customer profiling, sales strategy, market research, Business Development, sales executive",User_266
" fundraising, finance",User_267
" worldspan, travel sales consultants, galileo, amadeus, gds",User_268
" Front end, Email, PDF, MIN, UI, phone, Strategic HR, Doc, Consultancy, Recruitment",User_269
" CVS, ERP, Rest, middle east, Technical, Customization, E-commerce, CRM, Open, WHO",User_270
"Java,Angular JS,Hibernate,Core Java,Technical Leader,Technical,Javascript,Spring,JQuery,JS framework",User_271
" senior management, ngo, key skills, Corporate Social Responsibility, Govt Liasioning, corporate pr, External Communications",User_272
" Asp.Net MVC, entity framework, API",User_273
" Loans, Direct Sales Associate, Policies, Bfsi, Finance, Sanction, WHO",User_274
" Monitoring, Senior Resident, RAM, DNB, Dmc",User_275
" Angularjs, CSS, Responsive Web Design, Javascript, Bootstrap, HTML, JSON, JQuery, Web Development, Grunt",User_276
"networking,Network,Lead,Network,Lead,Network,Network,Lead,Network,networking,Lead,Leading,Network,Lead,Network,Lead,Network,Leading,Lead,Network,Network,Lead,Network,Lead,lead,Lead,Network,Network,Lead,Network,Network,Network,Lead,Networking,Lead,Lead,Network,Lead,Networking,Lead,Lead,Network,Network,Lead,Network,Networking,Lead,Lead,Lead,Lead,Network,Network,Lead",User_277
" python, open source, database, Automation, java, linux, perl, Monitoring, nosql",User_278
" PR, international bpo, chat process, Aviation, back office, web chat, Guest Relations, Public Speaking, bcom, fresher, inbound process, outbound, uk process, icse, communication skills, cbse",User_279
" QA, Functional testing",User_280
 Sales Engineering,User_281
"Design Development,Software Engineering,Lighting,Computer Science,Product Quality,Automation Testing,Asset Management,GUI,Object Oriented Programming,Android",User_282
" NAV calculation, Fund accounting, Automation, Corporate actions, Accounting, Process improvement, Analytical, Reconciliation, Standard operating procedures, Subject Matter Expert",User_283
" Networking, Secondary research, Recruitment, Analyst, Network security, Research, IPS, Advisory, Firewall",User_284
" Team Management, Training Need Analysis, sales training, Retail Sales, MS Office, Product Training, Training, Team Building, Skill Development, Retail Marketing, trainer, Regional Management, Competency Mapping, Training Delivery",User_285
" hiring, HRIS, procurement, HR, sourcing, Recruitment, staffing",User_286
" Computer science, Continuous improvement",User_287
" pharmaceutical, medical, Pharma, medical billing, healthcare",User_288
" CSS, Wordpress, MySQL, Javascript, PHP, HTML, JQuery, SEO, Ajax, Hosting",User_289
"mechanical operation,preventive maintenance,mechanical,engineeringbreak down maintenance,mechanical maintenance",User_290
" javascript, html, ajax, jquery, php mysql, smarty, api, analytical, third party, software development life cycle",User_291
"Renewable energy,Power distribution,Power sector,Banking,Electricals",User_292
" spanish language expert, chinese, spanish, medical",User_293
" Sales Associate, support, Voice process, Issue, Senior, Technical, Inbound calls, Bonus, US shift, Software",User_294
" MCSE, Database, Support Engineer",User_295
" SSRS, SQL Server, Stored Procedures, SQL Development, MS SQL",User_296
" GIT, Linux, Machine Learning, Python",User_297
" GNM, Business Executive",User_298
" institutions, relationships, marketing executive, customer, customers, implementation, company, site, product",User_299
"Recruitment,Volume Hiring,HR,BPO Hiring,Sourcing,Interviewing,Onboarding,Staffing,Orientation,Human Resource Management",User_300
" Java, CSS, Rest, Spring Mvc, Javascript, HTML, JPA, Spring Boot, JQuery, Web Services",User_301
" financial analysis, financial planning, taxation, VP Finance",User_302
" Publishing, SEO, Content management, Social media, Wordpress, Management systems, Research, Brand awareness, Web technologies, Journalism",User_303
" Auditing, Audit Planning, Risk Assessment, Banking, Credit Risk, Credit Policy",User_304
" c++, development, gaming, C, software, HTML, ios, opengl, iphone, design, MySQL, JavaScript",User_305
" business development, e - commerce, sales executive, sales associate, sales officer, sales, field sales, mba fresher, fresher, new product development, channel sales",User_306
" rest, java, sql, oop, angularjs, ui development, oracle",User_307
" Javascript, PHP, HTML, Visualization, jQuery, web, Programming, Commerce, Web designing, Application, Android",User_308
" Process automation, Commodity Markets, Artificial Intelligence, Market intelligence, Machine learning, Corporate, Relationship, Operations, Analytics, Robotics",User_309
" IT Sales, Marketing Campaigns, Social Media, Btl, Marketing Management, Digital Marketing, Dealer Sales, Channel Partners, Communication Skills, Process Flow",User_310
" Android, Troubleshooting, Middleware, Firmware, SOC, Linux kernel, Bluetooth, Computer science, Test scripts, Test strategy",User_311
" Outbound, Antivirus, Technical support, Voice process, Technical Support Executive, US shift, Inbound voice process, Customer Service Executive, Comp, International BPO",User_312
vide,User_313
" Sales Executive, Cold calling, market research, customer profiling, sales executive, marketing executive, distributors, Business Development, sales strategy",User_314
" Administration, HR, Recruitment, Recruitment Executive, IR",User_315
