Job Title,Key Skills,Experience
 Opening For Articulate tool Developer - Articulate / Captivate)chennai, Articulate Storyline,0
 Urgent Hiring for Area Sales Manager," Area Sales Management, Retail Sales, FMCG, Chocolate, confectionary, ASM, Area Sales Manager, area business manager",5
 Software Engineer - C++ Development - Ooad/oops," C#, Java, OOP, C++, Multithreading, UML, OOAD, OOPS, .Net, debugging",0
 Linux Administrator Lead," qmail, workflow, nagios, windows server, networking, mysql, monitoring, redhat, maintaining, centos",1
 Hiring for Tech Pm/scrum Master for Hyderabad Location," Java, JPA, Hibernate, Project Management, JDBC, Scrum Master, Microservices, Agile, SOAP, Rest",1
 Assistant Professor (Grade I)-Theoretical Computer Science,vide,4
 US Based Financial Company Looking For Java API Engineers For HYD," Java, java api, Banking, j2ee, API, finance, core java, microservices",0
 Strong Partner Ecosystem," GIS, ISO 27001, HR, information system, process, ISO 9001, Information security management, GIS software, Management, Edge",2
 Wordpress Web Developer,vide,4
 Senior Executive- Contract Logistics- Bom WP-A," Administration, Administrative Support, Contract Logistics, Staff Development, Site Management, Quality Improvement, warehousing, Warehouse Operations",7
 Accounts Manager," filing, tds, service industry, pf, esi, returns, coaching, payroll, invoice, tally",10
 Technical Sales Executive with fixed pay & lucrative incentives/UK Inb," Outbound, Antivirus, Technical support, Sales, Spot, Inbound calls, pay, Medical, Comp",9
 nutanix sme ," Troubleshooting, DNS, DHCP, Monitoring, Virtualization, Shell scripting, Python, VMS, Open source, Archiving",2
 System Architect - 3g/4g Wireless Network Architecture & Migration," 4G, 3GPP, 3G, System Architect, LTE, Radio Access Network, PhD, IEEE",4
"Excellent Opportunity For ” Linux Device Driver ” ,for Hyderabad and Ban","arm processor,c,device drivers,embedded linux,linux kernel,ipc",0
 Java Developer," JMS, Core Java, Sonar, Weblogic, XML, J2Ee, SVN, Spring, Oracle 11G, SQL",8
 Regional Representative," market, presentation, strong analytical skills, english, presentation skills, developing, customer interaction",10
 Hiring For Record To Report," fixed assets, accounts payable, record to report, general accounting, general ledger",5
 Product & Regional Sales Manager," Team management, Regional sales, Management",9
 Senior Manager/associate Director - Mandarin," Commercial Activities, Commercial Sales, Online Sales, Senior Management, Budgeting, Strategy Implementation, Marketing, E - commerce",5
 ODI Developer/lead ODI Developer - RACI," ODI, Matrix",4
 UI Developer," javascript, sql, php, php mysql, css, software development, technical, photoshop, mca, ajax, jquery, application, web, design, mysql, html",2
 Assistant Manager ," Relationship management, Relationship building, Client relationship, Training, Analytical skills, Process mapping, Standard operating procedures, Agile, Management, Visa processing",7
 Android Developer," android, btech, iphone, server, analytical, developing, ios, platforms, objective c, web, xml, design, json, programming, development, c, testing, mobile, xcode, application development, eclipse, application, sdk, applications",9
 International BPO / Non Voice Process / Rotational Shift / Ahmedabad," cca, bpo, csr, international bpo, customer service, outbound process, customer care, tourism, customer support, fresher, voice process, inbound process, cse, bpo fresher, voice support, hotel, travel",9
 iOS Developer," bca, graphics, application development, b tech, core, b sc, application, b e, ios, publishing, animation",0
 F&A Black belt - Process Excellence Lead," Accounting, Continuous Improvement, Process Improvement, Load Balancing, Lean Six Sigma, Black Belt, Training, Green Belt, Process re - engineering, Process Excellence, Business Excellence, OTC",5
 IT - Head (preferably from an NGO)," networking, information technology, network administration, technical support, support services, license management, disaster recovery, data security, it training, it software",0
 Digital Content Producer For largest Media House," Automobile, Digital Content, Content Development, Production, Web Content Writing",4
 Manager Holidays," Tourism, target achievement, negotiation skills, revenue management, Tour Packages",10
 Backend Developer," PHP, Networking, Data structures, HTTP, JSON, Software design, Computer science, System design, Backend, Ticketing",7
 JUNIOR BIG DATA ANALYST IN,vide,9
 Chief Engineer," Chief Engineer, Hospitality, HVAC, Maintenance, Water Treatment, Energy Conservation, Capital Expenditure",9
,"Marketing,Executive,Marketing,Marketing,Executive,Direct,Executives,Marketing,Executive,Executive,Executive,Executive,Marketing,Executive,Marketing,Executive,direct,marketing,executive,Marketing,Executive,Marketing,Executive,Executive,Marketing,Executive,direct,Executive,Direct,Marketing,Executive,Executive,Direct,Marketing,Marketing,Executive",0
 Oracle DBA Consultant - Data Guard/rac Modules," WebLogic, configuration, MySQL, installation, Oracle DBA, troubleshooting, Oracle RAC",0
 Global HR Operations Analyst," Service level, Data management, HR Coordinator, Management audit, HR operations, Human resource management",4
,"Manager,Transformation,Manager,Transformation,Manager,Manager,Manager,Manager,Transformation,Manager,Transformation,Manager,Manager,Transformation,Manager,Manager,Transformation,Transformation,Manager,Manager,Manager,Manager,Manager,Manager,Manager,Manager,Manager,Manager,Transformation,Manager,Manager,Manager,Manager,Manager,Manager,Transformation,Manager,Manager,Manager,Manager,Manager,Manager,Manager,Transformation,Manager,Transformation,Manager,Manager,Manager,Transformation,Manager,Transformation,Manager,Manager,Transformation,Manager,Manager,Manager,Manager,Manager,Manager,Manager,Manager,Transformation",3
 Compiler- Support Engineer," Graphics, C++, Windows OS, Linux, high performance computing, Test cases, System software, Gaming, FreeBSD",4
 Key Accounts Manager,vide,8
 Head Sales- Coworking Company," Sales, Team Building, Strategic Leadership, Real Estate, Field Sales, Sales Strategy, Enterprise Business, Go - to - market Strategy, Enterprise sales, Sales Executive Activities, Marketing",3
" Clubhouse Manager, Facility Manager,"," Facility Management, facility services",6
 IP DRG / Surgery / ED / Denials Coders," sds, radiology, CPT, icd - 10, EM, medical coding, coders, surgery, ed",7
 Sales Manager - Education Sales," Market analysis, Public relations, CV, Relationship building, Market intelligence, Prospecting, Budgeting, Sales process, Branding",3
 HR Associate," ERP, MIS, Succession Planning, Reports, Talent Management, Human Resources, HR Policies, Recruitment, Talent Acquisition",10
 Manager / Sr Manager - Digital Ad Sales - Ecommerce," revenue generation, marketing, ad sales, web technologies",4
 Architect Junior/ Middle level," co ordination, team management, drafting, loans, online, coordination, quality",7
 php developer," English, PHP, XML, DOM, SOAP, Com, Web technologies, Written communication, Email, Time",7
 Openstack Engineer / Openstack Admin with Ceph Storage," cloud, puppet, python, git, KVM, linux, jenkins, openstack, ansible",0
 Sr. Software Engineer," National, Branch, Vice President, J2Ee, Software",6
 Software Engineering- Mentor," Mentor, Android, Consulting, Usage, development, software, mobile, it, SIDE, Front end, Web technologies, Coding, web, backend, Open source, programming, Investment",6
 Application Tester," Performance Testing, Software Testing, Manual Testing, Quality Testing",6
 Credit Control - Manager / Asst. Manager," Pivot Table, Credit Analysis, Tally ERP, Accounting, VLOOKUP, Finance, Lookup, Advanced Excel, HLOOKUP, Credit Control",9
 Night Shift - Non Voice / Web Chat - BPO," international bpo, bpo, kpo, web chat, non voice process, e mail, international call center, customer service representative, cse, interpersonal skills, ites, uk shift, customer service, e - commerce, customer care, customer support, bpo fresher",5
 Sales Executive," Innovative, Aggressive",8
 Design Engineer Mechanical," Communication Skills, Detail Engineering, Material Handling, AutoCAD, Detailing, Design Engineering, Microstation, Bid Evaluation",9
 Android developer," design, android, erp, software, mvc, quality",0
 Technical Writer," Technical Writing, Technical Documentation, Articles, Writing Skills, Product Support",1
" Pro-Engineer , Matlab ,Ansys"," Ansys, thermal, MATLAB, System design, Recruitment, MCCB, Electricals",9
 Business Development Executive - Kolkata," Product placement, Market research, Distributor handling, Business Development Executive, Customer service, Customer Service Executive, Secondary sales, Supervision",9
 Accountant - UK Based Accounting," Management accounting, Accounting, VAT, Book Keeping, SAGE, Tax returns",9
" Opportunity For Current Account RM ,,bank ,, Delhi"," Trade, Forex Trading, Forex, fx, Lead Generation, Accounting, Banking, Revenue Generation, Current Account",1
 PHP Developer," XML, Javascript, PHP, development, css, technical, analytical, software, testing, HTML, tools, Joomla, coding, jQuery, web, MySQL, Wordpress, design, XHTML, debugging, Ajax",7
 Senior Engineering Maintenance Manager For Knitting and ZLD System," zld, Engineering Management, knitting",8
 Accounting Specialist," Analyst, ERP, Change management, Business objects, Managed services, Business process mapping, Executive management, Data mining, oracle project accounting, Testing",10
 Manager (Service Operation)," ERP, Succession Planning, MIS, Reports, Talent Management, Human Resources, HR Policies, Recruitment, Talent Acquisition",1
 DevOps Engineer Intern," Intern, Linux, Windows, Unix, DNS, C++, Perl, IIS, Redhat, HTTP",5
 PHP Developer (wordpress & Woo Commerce/shopify / Magento)," C, Woocommerce, Magento, Wordpress, MySQL, PHP, Shopify, JQuery, Web Development, Ajax",6
 Java Developer," CSS, Singleton, XML, Javascript, JDBC, Struts, JSON, HTML, Spring Boot, JQuery",1
 Sr. Manager- Business Development," Business Development Management, Bd, Marketing, business development, Projects, business development manager, bdm, Tendering, Proposal",0
 Test Principal Engineer," Ethical Hacking, Certified Ethical Hacker, Networking Protocols, Penetration Testing, Nessus, NMAP, Fortify, Vulnerability Assessment, Appscan, Qualys",2
 Graphic Designer," Graphic designing, Graphics, adobe creative suite, Architecture, MS Office, Business Executive",9
 Business Development Executive," Payment collection, Costing, Business Development Executive, Lead generation, Sales, Vendor, Cost",2
 Animation Resident," Internship, Digital marketing, Social media, Relationship building, Animation, Creative, Indesign, Business Executive, Presentation skills, Senior",1
Enterprise Business Development Representative,"market penetration,marketing,customer satisfaction,enterprise business,web technologies,business development,strategy,aws,sales",6
 Dot Net Developer," jquery, git, microsoft sql server, net asp net, software, testing, ado.net, microsoft, tools, sql, unit tests, database, application, web, design, .net, object oriented programming, support, programming",3
" Urgent Opening for ""US Staffing Professionals"" - Noida"," technical recruitment, us staffing, us recruitment, us recruiter, us it staffing, technical recruiter, it recruiter, recruiter, w2, c2c, talent acquisition, recruitment, staffing, sourcing",10
 Front Office Executive-Noida, Front Office Executive,10
 Project Executive/coordinator," Project Administration, Coordination",5
 Sterling OMS Architect," Order Management system, Sterling Commerce, Sterling, OMS, Sterling Integrator, ecommerce, E - commerce",6
 Dot net Developer," analytical, documentation, web development, algorithms, development, javascript, sql server, jquery, database, web, flex, design, mysql, net",3
 Centreless Grinding Operator , NCTVT,0
 PHP Developer Jobs In Gurgaon - Team Lead - PHP," Drupal, Application programming, MySQL, Wordpress, PHP, CakePHP, Team Leader, MVC, Zend, Software services",8
 Sales Lead," Outbound, Sales, Project management, Analytical, Sales Lead, Automation tools, Sales process, marketing automation",2
 Clerk - Garh Shankar (Vacancy-1),vide,8
 Senior Design Engineer - Manufacturing," AutoCAD, 3D Modeling, FMEA, Mechanical Engineering, Mechanical Design, SolidWorks",10
 Software Engineer Automation - Industrial Automation Job In Bangalore, Automation Engineer,7
 Looking For Assistant Manager - Healthcare (US Visa is Must)," Revenue Cycle Management, US Healthcare, Payment Posting, Medical Billing, Medical Coding, us visa, Team Leading Skills, Healthcare, Denial Management, RCM",10
 Senior Accounts Executive,vide,7
 QA for Voice Process (LE-0097-N1C)," Voice process, qaqc, Writing, Process operations, Verbal",10
" Senior Resident - Obs. & Gynae, Max Hospital, Gurgaon"," Patient Care, Nursing, People Orientation, Report Generation, Service Quality, Disaster Management, Customer Care, Medical, Process Orientation",6
,vide,3
 Manager/senior Manager- Analytics- Life & Annuities - Insurance Domain," Predictive Modeling, SAS, Data Management, Data Mining, Tableau, Data Analytics, Statistics, Analytics, SQL, Python",7
 Executive Medical Coder," molecular biology, chemistry, biotechnology, bhms, biology, Physiotherapy, microbiology, nursing, biomedical, Physics, medical coding, biochemistry, pharmacy, Ophthalmology, micro biology, Bioinformatics, zoology, biotech",5
 Account Assistant," accounts executive, accountant, Stock Management, gst, auditing, Statutory Compliance, accounting, Account Assistant, Bank Reconciliation, tax audit, banking, monthly reports, Payroll, salary processing, income tax, Income Tax Return, taxation",7
 Informatica Faculty Job Requirement in Hyderabad," Informatica Power Center, Informatica",6
 SEO Expert/ Digital Marketing Gurgaon," digital marketing, seo specialist, advertising agency, online marketing, seo, seo expert, facebook marketing",3
 Head Engineering," Validation, Installation, Breakdown Maintenance, Industrial Safety, gmp, Boiler, Design, HVAC, Gensets, Air Compressor, Breakdown, RO, who",7
 Business Development Executive, Forecasting,9
 PPC Executive," Pay Per Click, Google AdWords, Search Engine Marketing, PPC, SEM, Google Analytics, Website Analysis, Yahoo, Web Analytics, Marketing Initiatives",6
 Opening For the post of Mr/territory Business Manager in An Pharma," marketing officer, pharma sales, Marketing Representative, marketing executive, pharma marketing, sales officer, sales representative, business development executive, Fresher, trainee, sales executive",5
 Deputy Manager - Program Management," Project management, PPAP, Automotive, External audit, Conflict resolution, Resource mobilization, PFMEA, Risk management, Project life cycle",10
 Public Relations Manager - Bangalore," PR, Public Relations, Media Relations, Social Media, Marketing Communication, corporate communication, media relation, corp comm, Online Media, public relation, Journalism, Advertising, mass communication",10
 Female Fresher's Counsellor- Gurgaon," counselling, couselling, fresher, student counsellor, student counseling",2
 BE Chemical - Fresher," Help Desk, Customer Service, customer relationship, access controls, Asset Management, Vendor Management",6
 Senior .Net Developer For Leading IT Company in Gurgaon," asp dot net, .net developer, Dot Net Developer, asp.net, asp . net",4
 Hiring a Valuation Associate (female Only)," Secondary Research, Valuation, Finance, Real Estate, Primary, Report Preparation, Business Development, Due Diligence, Financial Modelling",4
 Merchandising & Marketing- Professor," Teaching, Educator, Counselor, Mentor, Trainer, Advisor",5
 Medical Transcriber," X - Ray, Medical Transcription, Ultrasound, CT Scan",6
 PHP Developer," cms, javascript, wordpress, drupal, joomla, ajax, cakephp, zend, knowledge, xhtml",3
 Business Development Manager," Sales, Management, Sales management, Educational sales",9
 Looking for a Job Change With a good package," Outbound, Antivirus, Technical support, Technical Support Associate, process, Sales, Inbound calls, US shift, Comp",1
 Huge Requirement for Customer Care Executive with Fixed Salary," Technical support, English, Comp, Customer Care Executive, Inbound calls, Antivirus, Issue, Software",9
Assistant Manager – BI&I (data Automation),"C#,Application Development,Senior Level,MS SQL,Visual Basic,Power Bi,MSBI,SSIS,Recruitment,Data Integration",9
 Field Sales Executive," Escalation management, Field Sales Executive, Sales achievement, Training, Insurance sales",8
 Sr. Manager Sales Capability Building," Team management, Salesforce, Usage, Sales, Skill development, Training, Productivity improvement, Training management, Sales budgeting, TSI",2
" Service Ops Expert - Servc Del , Microland"," Networking, Unix, Change management, Scheduling, Publishing, Incident management, VMware, Problem management, Remedy, SIP",1
 Regional Trainer - Skin for Wellness & Beauty Industry (only Females)," planning, training, training manager, trainer, faculty",8
 Sales Manager," Sales, Billing, MS Office, Business reporting, Insurance sales, MIS preparation, Usage, Corporate, Networking, Retail",6
 Field Support Team-Supervisor," customer support, support service, field support, team, management, supervisor, self motivated, continuous improvement, give, enthusiastic",5
 Sr. C# Developer," Javascript, SQL, XML, server, css, technical, software, developing, HTML, tracking, database, web, Application development, net, programming, Ajax, development, DOM, solid, data integrity, Stored procedures, Reporting tools, application, applications",8
 Sr Structural Engineer," Senior Design Engineer, Engineering Design, SACS",10
 IT Security Head ," C, Python, Six Sigma, PMP, .NET, HTML, JavaScript, SQL, Oracle, assembly language, Real Time Operating Systems",4
 Technical Support Executive," Technical Support Executive, Electrical engineering",1
 Analyst - Business Intelligence," Data analysis, Automation, Google Analytics, Excel, Analytical, Business intelligence, Analytics, Product marketing, SQL, Data extraction",0
Nokia WING Circuit Core - SMSC Engineer,"Detail Design,Juniper,SMSC Engineer,Routing,IP Networking,Network Elements,Network Troubleshooting,High Level Design,Data Center,Switching",3
 Assistant Restaurant Manager / Restaurant Manager," assistant restaurant manager, restaurant, restaurant manager",0
 Digital / Web Artist," layout, visualization, digital media, graphic design, html, illustration, tools, part time",1
 Business Development Manager," selling, accounts, events, prospecting, business operations, ideas, coordinating, tracking, closing, maintaining",9
 Web/ GUI Designer," photoshop, illustrator, seo, jquery, fireworks, css3, gui, usability, development, static",3
" Web Designer - Html, CSS, Bootstrap, Photoshop"," Photoshop, HTML, Wordpress, CSS3, bootstrap, Web technologies, html5, CSS",0
 Python Developer, Python,10
 Web Designer," server, multimedia, troubleshooting, graphics, audio, monitoring, javascript, jquery, user interface, css3",8
 AVP- FX MO," Senior management, MIS reporting, Building, Training, Management, Risk, Vice President, Focus, Trade, Associate Vice President",3
 Cluster Sales Head - Tied Channel &amp; Affinity Alliances - Health Insura," Sales Head, Tied Channel, Sales, Business Growth, Profitability, Business Operations, New Business, Alliances",9
 Head - Project Management, Project Management,3
 Walk- In For Development QA/ Regulatory Affairs," QA, Life Sciences, development quality assurance, Life Cycle, Regulatory Affairs, DQA, QMS, Dmf",9
 Manager Accounts-wazirpur-mba-finance-salary-35k(export House exp)," accounting, finance, financial reporting, statutory compliance, gst, vat",2
 Team Leader- Head Digital Prtnrshp & BD," Data analysis, Consumer research, Management, Head Business Development",0
 DWH Tester - Manual Testing," Testing, Quality, Manual Testing, ETL, BI, DW, Datawarehouse Testing",9
 Quality Assurance Engineer," assembly language, Six Sigma, PMP, C, JavaScript, .NET, HTML, Oracle, Python, SQL",6
 Technical / Functional Skills," Product management, Business process, Linkedin, Automation, CV, Email, GIT, Technical, SDLC, Ideas",6
 Software Development / Software Engineer," ajax, javascript, php, erp, website, development, software development, module, mca, application development, application, web, programming",9
 Inbound Phone Banking Voice Process - Leading Bank - Noida," customer service, customer care, team, communication, bpo, call center, inbound, voice, backend, non voice, telecalling, cse, cro, cce, data entry, back office, voice process, domestic bpo, fresher, trainee, Telemarketing, Outbound, sales, hardware, networking",2
Java Enterprise Edition,"Oracle,Core Java,Business process,Outsourcing,Operations,spring integration,J2Ee,Spring framework,JEE,Manager Technology",3
 Associate Clinical Data Processor," MS Office, Data entry",4
,"Sales,Counter,Sales,Sales,Sales,Sales,Counter,Sales,Sales,Sales,Counter,Sales,Sales,Counter,Sales,Sales,Sales,Sales,Sales,Counter,Sales,Sales,Sales,Sales,Counter,Sales,Sales,Sales,Sales,Sales,Sales,Counter,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Counter,Sales",3
 CRM," Customer relationship, Automobile, Proposal preparation, CRM strategy, Architecture, Database, Testing",5
 Magento Developer," Unix, Version control, Prototype, XML, MySQL, PHP, JSON, MVC, Ajax, CSS3",1
 Merchandiser," Merchandising, Buyer Activities, Follow Ups, Vendor, purchase, vendor development, tracking",10
 SIEM Analyst,vide,3
 Hiring ll Azure Devops and Management Lead ll Hyderabad," C#, Azure, Powershell, Script Writing, API, Debugging, Devops, Application Integration",4
 Senior Faculty - Information Design,vide,8
 computer operator," Computer Operator, MS Office, Software services, Comm, Typing speed, WHO, Software, level",2
 Operation Executive," operations management, mobilization, Resource Mobilization, general management, interview, Recruitment",7
 Customer Support Executive," Customer Support Executive, Customer service, Business Executive, process",7
 Corporate-Day Care Manager.," Staff Training, Day Care, Recruitment",2
 Hiring going on for .US Inbound Tech Support/ Sales," process, Spot, Technical support, Night shift, International BPO",4
Deputy Manager- Performance/digital Marketing,"digital marketing,email marketing,adwords,display advertising,digital campaigns,google analytics,sem,seo",10
" Technical Lead -(VoIP,Cisco Call Manager)"," java, cisco call manager, visa, j2ee, sip, offshore, communication skills",4
,vide,6
 Relationship Manager," Sales, Business Development, Change Management, Mobile, mobiles, handset, mobile handset, Marketing, Relationship Management, Distribution Management, channel management, dealer management, Retailer",5
" Technician, Technical Support"," International Call Center, Technical Support, Maintenance, Communication Skills, PC Hardware, Technician Activities, Social Media, Analytical Ability, Soft Skills, Customer Satisfaction",2
 Graphic Designer," Illustrator, Corel Draw, Photoshop",5
 Consultant," Manual testing, Informatica, microsoft, Process automation, System testing, PDF, Artificial Intelligence, Regression testing, Silicon, Analytics",2
 Immediate Requirement for Fusion Technical Lead Developer," Technical Architecture, Fusion, Oracle Fusion",3
 Layout Designer / Web Designer," Layout design, Corel Draw, Web designing, Photoshop",7
 International BPO- Mahindra- Meru- TATA SKY- Paddle Point-pepperfry-hc," Bpo Voice, Voice Process, International BPO",10
 Asp.net with Angular JS & Html5 - Hyderabad," HTML5, ASP",3
 Sales Manager Product and Portfolio," Product training, Sales, Relationship, Banking, Recruitment",3
 Key Accounts Manager," Customer profitability, Receivable management, Education, Relationship building, Transportation, Service, Monitoring, Key accounts",4
 Store Head-leading Manufacturing Company," Stores, warehouse, Logistics",6
 BPO Inbound Voice Tech Process - Customer Service Inbound Voice - Appl," BPO, Outbound, English, Email, Inbound calls, Customer service, Troubleshooting, Technical support, Recruitment, Comp",9
 Java Software Engineer," Linux, Agile, Python, Computer science, Coding, Fixed income, Machine learning, Asset management, JIRA, Financial services",0
 Admin Executive," English, MS Office, admin executive, Billing, Stock inventory, Writing, Office management, Management, Business Executive, Application",8
 Agm Finance for Automobile Company in Kolkata . Salary:7 Lpa," Credit Officers, Risk Management, Administration, Report Generation, Analysts, analytical skills",1
 Accounts Manager (male)," Balance Sheet Finalisation, service tax, bank reconciliation, gst, income tax, taxation, financial auditing, finance, tax audit",1
 Opening for French Specialist Accounts Payable," accounts payable, accounting, AP",6
 Applications Analyst OEE," Change management, Healthcare, Analyst, Business Analyst, Social media, Problem management, Software development life cycle, Scheduling, OEE",5
 Customer Service Engineer - - ICD Security Solutions," Copyright, Customer Service Representative, CV, Customer service, Security, Troubleshooting, CCTV",8
" Urgently Required Senior PHP Developer(laravel) ,, Gurgaon "," CSS, jQuery, MySQL, Javascript, HTML, Web Development, Laravel, Codeigniter",0
 Associate Process Consultant," Networking, Telecom, LAN, WAN, Bss, VPN, Wireless, Telecommunication, Costing, Visio",3
 Infrastructure management- Lecturer," Teaching, Educator, Counselor, Mentor, Trainer, Advisor",10
 Finance Admin," Business communication, Analytical skills, Business objects, Team management, management, Transition management, Trend analysis, Variance analysis, Analytics",8
 Guest Relations Executive," Usage, PDF, C, Social media, Cash handling, Database, Customer service, Merchandising, Advertising",8
 Salesforce System Architect," salesforce, salesforce.com, system design, application architecture",6
,vide,0
System Monitoring Tools & Techniques Professional,"Execution,Project Management,AO engagement,Monitoring Tools,Delivery Management,Stakeholder Management,System Monitoring",6
 HR Recruiter," Recruitment, Hiring, HR, Screening, Interviewing, Staffing",5
 Business Development Manager (eCommerce)," bca, cold calling, bidding, academic, customer service, documentation, selling, web development, seo, mba",2
 Java Developer - Spring/ Hibernate," Java, Webservices, Spring, Hibernate, System Design, ESB, SQL, Spring Boot, Javascript",9
 Python Developer," Debugging, Troubleshooting, Python, Interpersonal skills, OOPS, Programming, developer",10
 Sales And Marketing/Business Development manager," Direct sales, Cold calling, English, Networking, Business Development Manager, Customer interfacing, Data collection, Service, Digital marketing, WHO",3
 Microsoft Developer," build automation, Entity framework, MVC, microsoft, SQL",2
 Customer Service Executive (Adeeba Group) for Tech Support/ Sales," Technical support, Outbound, Troubleshooting, RecruitmentEnglish, Antivirus, Comp, Customer Service Executive, Domestic BPO",1
 Inbound Technical Support With Attractive Salary Package," Outbound, Medical, Technical support, Technical Support Associate, Email, Sales, US shift, Antivirus, Troubleshooting, Comp",8
" Placement Officer,"," HR, Human Resource Management, Placement Coordination, recruitment executive, recruitment officer",10
 Walk-in Interviews For Sr.executive - Procurement on 5th July," Strategic Sourcing, procurement, supply chain management, Packaging, Vendor Management",9
Urgent Opening Automation Test Engineer 2-5yrs-bellandur Bangalore,Test Engineering,4
 Senior TSA Inbound Tech Process," Outbound, Technical Support Associate, Sales process, process, Senior, Technical, US shift, Technical support, International BPO",4
 Freelance Corporate Trainer on Taleo," Corporate Training, corporate trainer, technical trainer",2
 Senior Java Developer- Urgently Required by Mumbai IT Company," java, mongodb, Hibernate, spring, jms",0
 Manager Procurement," Procurement, Supply chain management, Automation, Copyright, Chain, Purchase, Head Operations, Steel, Business Executive",10
 Senior Software Engineer - UI Development - Javascript/angularjs," software development life cycle, css, html5, ui development, design patterns, svn, software engineering, angularjs, javascript",2
 Telle Caller," good communication skill, good speeking manners, ability to face strangers, punctual, gopod efficiency",4
 Documentation Executive," e - tendering, Tender Preparation, bid preparation, proposal preparation",0
 Restaurant Cashier," Cash Handling, Cashier Activities, Day Book, Cashier, Restaurant, CSAT",8
" Opening For Dot Net Developer @ Baner, Pune"," C#, .Net, Asp.net",4
 Management Trainee," Excel, Sales, Conflict resolution, Analytical, Management Trainee, Power point presentation, MS Office",10
 Junior Company Secretary," Manual testing, Eclipse, Coding, Scrum, Enterprise applications, Healthcare, JIRA, Android SDK, test driven development, Business Analyst",6
 Production Manager," Production Management, production control, production planning, Production Manager, Planning, Production Support, Organizing",2
 Have Confidence to Convince Customer Then Join Adeeba (Inbound Voice)," Outbound, Medical, Technical support, Technical Support Associate, Email, Technical, US shift, Antivirus, Troubleshooting, Comp",8
 Business Transformation Consultant," project management, management consulting, business transformation, strategy consulting, change management, sales strategy, top management",1
 Content Editor," Digital media, PHP, Recruitment, Bengali, LMS, Business administration, Content Editor, Journalism, Literature, Administration",7
 Graphics Hardware Engineer," Graphics, Simulation, Power management, Electronics, Hardware, Research, System analysis, Electricals",0
 Visual Designer," Motion Graphics, Infographics, Illustrator, animations, infographics, Corel draw, Photoshop, CorelDRAW, Visual Designer",1
 Web Designer," Illustrator, Web designing, Photoshop, CSS, Web technologies, XML, Intranet, Business Executive",10
 ACCOUNTS EXECUTIVES," Tally, Retail, Accounts Executive, Retail Executive",3
 Finance & Accounting Associates," Financial reporting, Due diligence, Data analysis, Accounting, International finance, Banking",5
 DEALER - RETAIL BROKING," NSE, Lead generation, Compliance, Relationship, Equity, Client acquisition, Research, Revenue generation, Monitoring, HNI client handling",10
